;Maio de 2025;Abril de 2025;Março de 2025;Fevereiro de 2025;Janeiro de 2025;Dezembro de 2024;Novembro de 2024;Outubro de 2024;Setembro de 2024;Agosto de 2024;Julho de 2024;Junho de 2024;Maio de 2024;Abril de 2024;Março de 2024;Fevereiro de 2024;Janeiro de 2024;Dezembro de 2023;Novembro de 2023;Outubro de 2023;Setembro de 2023;Agosto de 2023;Julho de 2023;Junho de 2023;Maio de 2023;Abril de 2023;Março de 2023;Fevereiro de 2023;Janeiro de 2023;Dezembro de 2022;Novembro de 2022;Outubro de 2022;Setembro de 2022;Agosto de 2022;Julho de 2022;Junho de 2022;Maio de 2022;Abril de 2022;Março de 2022;Fevereiro de 2022;Janeiro de 2022
;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º 
1931010: Marinha Grande;13461;11817;6946;4683;4064;6291;6183;9606;13901;25407;17541;11918;9050;7281;7717;4467;4154;5266;4503;8149;12383;23586;17421;10194;7739;8790;6137;5509;4292;4560;5205;8579;13077;26103;19270;12082;7072;8025;4584;4484;3048
1931013: Pedrógão Grande;129;139;? ?;? ?;73;? ?;? ?;190;170;527;277;184;275;? ?;? ?;? ?;? ?;117;51;168;316;501;409;147;163;163;? ?;? ?;? ?;75;? ?;88;316;484;424;220;101;160;97;? ?;? ?
1931015: Pombal;6164;5501;4419;4083;3494;3985;5005;5119;4963;7643;6306;5835;6018;4949;4387;4062;3590;4307;3827;5119;5365;7539;5832;5524;5953;4970;4081;3615;3403;4013;4050;4263;4253;6643;5387;4753;5056;4147;3303;2687;1881
1931016: Porto de Mós;3093;2788;2451;2353;1904;2202;2011;2255;2299;3026;1953;1754;1798;1594;1408;1063;995;1460;962;1455;2262;3116;2329;1930;1684;2231;1650;1215;1112;1559;1161;1511;1709;3455;1667;1355;1546;1458;876;883;737
194: Viseu Dão Lafões;54307;55331;46922;36312;30091;39223;48151;56682;65599;105143;60721;52344;50076;48912;46380;33279;26257;39828;39479;53099;66097;93074;55709;48401;43776;46849;31261;29838;23944;34292;32757;48931;59346;92245;59314;46431;43657;42629;30750;24848;16469
1940901: Aguiar da Beira;769;638;836;808;407;559;685;811;717;1202;793;746;709;459;826;387;490;532;465;524;508;1316;831;601;682;571;570;512;366;542;889;632;546;1019;1223;862;780;570;736;580;763
1941802: Carregal do Sal;676;769;? ?;606;666;? ?;? ?;775;? ?;? ?;? ?;834;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;345;? ?;? ?;? ?;? ?;? ?;? ?;? ?;323;? ?;251
1941803: Castro Daire;1200;906;883;401;327;502;762;1543;1859;3417;1521;2040;1861;906;748;446;371;1151;866;1729;3887;2786;1521;3048;1567;1744;559;472;309;3164;733;1464;2238;2994;5154;2288;2732;1478;708;326;129
1941806: Mangualde;2462;1931;1719;2196;1433;1434;2024;3104;3296;7222;2969;2611;2388;2123;1981;1832;2019;1827;1566;2702;3293;6691;3282;2844;2490;2360;1599;1654;1636;1521;1717;2415;3216;6092;2649;2030;2128;2086;1749;1593;1585
1941809: Nelas;4934;5773;4765;3512;3091;4004;4548;5918;5517;12652;6449;4553;4891;4333;3978;3346;2529;4048;3478;5656;5693;9523;4097;2822;2237;2908;1742;1685;1158;2157;1623;3564;3772;7516;3930;3219;2270;3433;927;1218;634
1941810: Oliveira de Frades;539;494;578;401;444;875;682;732;1188;1613;802;651;? ?;548;437;? ?;531;675;661;883;1001;1570;886;955;1045;? ?;? ?;571;617;653;515;576;634;1316;680;551;826;823;471;545;545
1941811: Penalva do Castelo;1085;1259;839;645;365;864;818;1339;1439;2327;1802;1385;1032;939;1095;906;? ?;918;626;1427;1637;2374;1851;1086;997;1224;627;754;482;880;516;1465;1844;2952;1850;990;900;1172;? ?;213;? ?
1941814: Santa Comba Dão;? ?;? ?;186;? ?;? ?;118;123;? ?;226;? ?;508;208;314;165;215;217;108;151;93;191;305;373;515;309;322;343;150;211;165;143;122;363;399;563;381;432;212;320;159;271;109
1941816: São Pedro do Sul;12282;12256;12409;7330;4738;7212;12211;15089;16684;22819;13314;12117;10892;11761;10878;6297;3805;7483;11298;14126;18764;24121;14621;13308;10743;11879;6376;5270;3302;6430;9588;14876;16176;24349;14323;11434;10860;10012;6394;5666;1965
1941817: Sátão;692;412;177;212;233;152;300;212;229;? ?;278;? ?;371;? ?;? ?;? ?;? ?;174;174;204;227;703;282;? ?;250;223;154;? ?;258;180;? ?;309;278;667;397;210;335;182;? ?;111;? ?
1941821: Tondela;3027;3799;2551;2192;1767;2377;2445;2625;4579;7603;4981;4040;3364;3232;2918;2362;2197;3476;3292;3486;4493;7765;5183;3448;3237;3324;2069;2207;1851;2216;1981;2607;4320;5837;3271;2684;2479;2172;1469;1308;721
1941822: Vila Nova de Paiva;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?
1941823: Viseu;25046;25432;20453;17482;16148;19515;22006;23172;27010;39555;24081;21190;21781;22266;21388;15502;12171;17555;15683;20185;23595;30511;19274;17621;18472;19372;15676;15278;13110;15542;14101;18734;23421;34180;21934;19815;17926;19030;16434;12293;9320
1941824: Vouzela;1070;1282;531;334;310;829;602;1011;1771;3818;2412;1499;1132;1152;818;550;433;1000;708;1347;1741;3721;2380;1383;1092;1370;445;460;269;423;413;956;1678;2985;2377;1264;1349;842;528;319;189
195: Beira Baixa;25968;24491;18174;15085;13579;17430;18202;24214;27734;42825;30796;27066;25051;20955;20434;17171;12991;20169;17638;25720;26145;43444;34767;25297;22726;25529;17649;17084;14282;16424;16639;23725;25481;40589;31260;25353;23440;25628;17224;14990;13000
1950502: Castelo Branco;10256;9643;8582;6847;6911;8095;8387;10592;10886;13316;11193;10550;10466;8293;8863;7873;6279;8505;8376;10118;9989;13331;11377;11029;10021;9930;8334;7773;7543;8094;8317;10344;9341;12482;10442;10041;10948;12107;10310;9013;7915
1950505: Idanha-a-Nova;4106;3745;2005;2060;1562;2189;1916;3301;4666;8194;5171;4464;3511;2712;2124;2140;1516;2940;2106;3631;3674;8204;6210;3889;3805;4672;2427;2472;1981;2158;2259;4141;4534;8502;6531;4967;3419;4069;1769;1881;1555
1950506: Oleiros;789;990;750;540;? ?;529;710;733;1107;1749;1508;1248;1120;990;? ?;? ?;572;716;855;738;1219;2384;1654;1011;658;894;? ?;? ?;546;741;? ?;827;1049;2036;1283;871;? ?;? ?;? ?;? ?;? ?
1950507: Penamacor;1565;1381;1055;948;822;1409;1222;2016;1562;2330;1801;1884;1800;1541;1561;1600;? ?;2035;1325;1939;1406;2839;2735;1434;1150;1775;1086;? ?;? ?;? ?;? ?;1441;1015;2579;2078;1176;1420;1238;991;630;639
1950508: Proença-a-Nova;835;627;194;219;? ?;266;320;420;494;999;842;557;574;434;? ?;? ?;? ?;172;144;619;713;1353;799;707;377;546;? ?;? ?;? ?;? ?;? ?;455;449;744;495;441;? ?;? ?;? ?;? ?;? ?
1950509: Sertã;6503;5767;3983;3058;2198;3355;4033;5195;6373;11818;7559;6157;5739;5239;4492;3442;1984;3920;3410;5906;6744;11571;8924;5681;5659;6637;3966;3759;2249;2980;3371;5339;7245;12502;8975;6608;5327;5762;2824;1794;1631
1950510: Vila de Rei;599;754;613;559;? ?;576;617;643;967;2260;1089;769;575;684;1106;514;321;620;492;621;842;1443;1602;394;361;396;205;206;161;220;214;397;503;579;470;256;152;251;137;87;126
1950511: Vila Velha de Ródão;1315;1584;992;854;903;1011;997;1314;1679;2159;1633;1437;1266;1062;1049;751;714;1261;930;2148;1558;2319;1466;1152;695;679;675;543;738;559;664;781;1345;1165;986;993;1135;900;428;666;610
196: Beiras e Serra da Estrela;76153;83410;87631;76857;79983;84729;78450;75553;85617;132314;82373;74273;74410;74354;84742;81645;74606;84334;58110;64396;78123;122559;85120;74263;63130;77911;60494;82624;69364;70980;54506;63573;66686;116453;80312;68108;56939;74843;61083;61968;60803
1960902: Almeida;1297;1488;980;869;1080;952;1175;1643;1398;1455;1181;1087;1670;1251;1090;1182;924;896;942;1217;1430;2089;1384;1173;1011;1563;975;1118;1146;1039;1308;1251;1421;2424;1433;1625;1343;1392;1366;1120;913
1960501: Belmonte;2913;2717;2303;2067;1746;2051;1921;1958;3005;4495;2281;2216;3084;2414;2347;2114;1729;2325;1398;2150;2728;4976;2705;2776;2768;3340;1835;2596;2032;2363;1500;2495;2191;4527;2732;2593;2081;2969;1725;2072;1650
1960903: Celorico da Beira;2287;2080;2061;2045;1611;2582;2822;3545;3501;3944;2592;2707;2492;2268;2210;2614;1913;2386;2130;1869;3178;4212;3107;3432;3095;3071;2479;2632;2075;2183;1720;1858;2365;4275;3151;3173;2783;2726;2538;1787;1528
1960503: Covilhã;23423;30743;31109;29941;33008;30427;27430;24630;27377;41095;26471;22025;21677;24171;31963;30509;31146;33047;23681;23042;25435;38530;26797;24127;19711;24703;22270;33536;28898;25301;21382;22157;23346;36425;25522;21548;18471;27417;22723;26251;26422
1960904: Figueira de Castelo Rodrigo;1104;861;394;235;298;451;565;956;1125;1878;1101;1233;1216;635;368;456;219;559;615;943;1094;1389;1297;695;853;1071;759;449;205;692;338;813;1139;2214;1302;1203;944;1013;473;495;236
1960905: Fornos de Algodres;1949;1337;2275;1396;821;1461;1203;1903;2872;5405;3625;2211;2162;1620;1754;1647;1383;1999;1075;3078;2384;5437;2913;3037;1971;2523;1751;1902;1425;1729;1163;2501;2383;5337;3154;2980;2907;2712;1763;1825;1120
1960504: Fundão;14508;9418;15452;10278;13197;14122;15088;14724;15351;18697;10715;14654;13819;12631;12733;12011;11372;9606;6447;5695;12148;15244;11830;12805;9736;9980;6791;9485;7442;6193;5357;6674;8108;12386;10121;8591;6653;6749;7468;5729;6774
1960906: Gouveia;2607;2620;2797;2508;2281;2902;1834;1995;1688;4054;2063;2260;2330;2456;2765;2374;1694;2704;2142;2495;2656;5997;2922;1987;2148;2874;2443;2616;2347;3376;2894;3089;2135;5854;2564;2240;1647;2244;2323;2485;1619
1960907: Guarda;8435;9122;7423;6507;5734;7307;6828;7918;8445;11939;9538;7902;8540;7577;7664;7509;6126;6980;5979;7599;8173;10990;10205;8770;7910;8634;6511;6576;5765;7219;5535;6730;6804;9730;7992;6407;5687;5996;4816;2912;3667
1960908: Manteigas;5585;6300;6656;5700;6080;6609;7389;5710;7221;6858;5657;5083;5211;5808;6029;5804;5523;6934;5719;6008;6661;6760;6233;5086;4811;6420;4530;6296;6109;6998;4448;5510;5207;7678;6726;5748;4816;6890;5724;5244;5800
1960909: Mêda;2104;1950;1727;1297;1268;1431;1691;1944;2487;4068;2524;2088;2273;1636;1601;1611;1303;1726;1417;1920;2193;3614;2133;1565;1441;1988;1262;1444;1300;1663;1533;2227;2444;4234;2263;1977;1934;1816;1274;1556;1204
1960910: Pinhel;312;372;261;271;243;331;433;297;500;1300;538;401;360;287;350;475;140;393;235;202;302;979;454;360;293;406;203;237;110;229;149;196;419;623;308;412;167;317;255;223;142
1960911: Sabugal;1663;2216;1729;1753;1485;1914;1547;2072;2104;4107;2146;1941;1812;1906;2016;1936;1726;2341;1403;1962;1862;3244;2393;1715;1308;2209;1428;1530;1457;1995;1564;2009;1987;3803;2602;2034;1841;2903;1762;1622;1476
1960912: Seia;6333;10735;11491;11015;10674;11543;7622;5188;7218;19789;10138;6842;6466;8431;11117;10303;8985;11311;3971;5033;6380;16182;8628;4874;4383;7178;6519;11322;8384;9016;4351;4601;5179;13556;7835;5903;3778;8114;5712;7545;7586
1960913: Trancoso;1633;1451;973;975;457;646;902;1070;1325;3230;1803;1623;1298;1263;735;1100;423;1127;956;1183;1499;2916;2119;1861;1691;1951;738;885;669;984;1264;1462;1558;3387;2607;1674;1887;1585;1161;1102;666
1D: Oeste e Vale do Tejo;337447;290596;228254;153649;134632;175435;236820;342102;379433;497513;378910;321789;334189;288691;241159;167143;130315;180975;213122;339304;377213;490541;380469;310430;296610;290927;187545;143259;109160;147713;178547;290009;322356;452366;343827;269248;237729;229885;135008;99906;64366
1D1: Oeste;132853;126350;99787;68616;61545;84787;91790;133502;171098;263218;201886;148599;138882;121199;108906;78177;58596;92956;85602;147278;176592;262742;204860;152125;128154;136600;93369;73024;53481;79254;76477;125080;156052;250288;198548;142749;110452;116257;70276;52955;35673
1D11001: Alcobaça;10664;10110;8440;6496;5614;6795;9213;10442;13561;23524;15927;10646;10225;8669;7495;6707;5100;7306;6460;11095;13046;24775;16976;10630;9859;10113;6750;5769;5230;5787;5658;7960;11424;22389;16365;10528;8294;8499;4804;5013;3527
1D11101: Alenquer;3381;2634;1902;1526;1678;769;1032;2019;2452;2546;2487;2656;3059;2208;1506;1272;1598;1060;1435;2600;3036;2669;2736;2447;2265;1817;1196;1010;1011;636;973;1175;1379;1250;1308;1081;1135;785;605;393;278
1D11102: Arruda dos Vinhos;? ?;? ?;? ?;? ?;? ?;? ?;? ?;951;1008;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;875;1292;663;871;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?
1D11005: Bombarral;1828;2125;1188;416;400;1040;1360;1228;2552;3044;? ?;2149;? ?;2085;1598;1294;? ?;1231;1661;2525;2959;2961;3015;2613;? ?;? ?;1784;750;947;1468;907;? ?;? ?;? ?;? ?;? ?;? ?;1548;? ?;? ?;? ?
1D11104: Cadaval;? ?;? ?;339;198;140;291;404;608;1133;2089;1485;1031;800;680;595;184;175;415;353;709;1197;2452;3606;649;446;405;457;182;188;344;185;595;966;2286;3545;988;668;760;291;254;84
1D11006: Caldas da Rainha;18242;18063;13851;8447;6031;13950;11084;17459;23000;33093;24301;19183;18332;18297;13914;8321;7567;14358;10487;18216;22345;34628;26120;19840;15280;18196;13203;8227;6325;11132;11135;17670;19509;32293;22867;18070;13641;14709;10565;5957;3617
1D11108: Lourinhã;5624;5145;3895;3162;3143;3481;3600;6484;8325;15231;11328;6814;6246;4659;3732;2903;2646;3129;3549;6368;8131;12813;9690;5978;5462;5827;3149;2402;2033;2317;2943;5675;7438;12975;9891;6388;4677;4698;2873;1999;1626
1D11011: Nazaré;20057;18997;13393;13602;12087;12208;16604;24109;30245;42432;34088;26246;23063;19183;15541;13869;11593;13881;16593;25176;31535;42808;36562;25583;20736;21778;13344;14605;11013;11505;14079;20386;26048;39041;32640;24337;18017;17380;10196;12041;7629
1D11012: Óbidos;25759;24817;20882;13837;13642;22580;18441;26373;28772;46157;35226;25648;27365;22354;24326;16791;12121;24571;17015;28401;28073;44537;32437;26772;25548;26237;18218;13843;8089;21031;14588;25118;27855;42780;34321;26048;21154;24294;12266;9983;7098
1D11014: Peniche;19365;17538;14461;8105;7672;10779;10929;18275;28361;48911;38481;24887;20591;17578;17238;9264;7182;11432;10518;24386;33039;53244;41621;25979;22475;23201;15998;9492;7481;9033;10052;20328;27304;49182;39967;23699;17898;18031;11430;6979;4485
1D11112: Sobral de Monte Agraço;158;75;? ?;? ?;? ?;? ?;? ?;242;320;? ?;223;? ?;177;? ?;? ?;? ?;? ?;? ?;? ?;? ?;241;248;210;125;149;160;? ?;? ?;? ?;? ?;? ?;150;245;219;412;181;131;? ?;- -;? ?;- -
1D11113: Torres Vedras;26289;25497;20878;12307;10404;12261;18199;25312;31369;44737;35181;28463;25663;24631;22240;16887;9607;15062;16907;27099;32115;40315;31224;30638;23003;25892;18553;16210;10722;15437;15342;23265;31334;43102;34071;28250;22332;24911;16207;9679;6574
1D2: Médio Tejo;175741;141154;110710;68599;58651;74272;122553;184562;183089;199802;147084;147117;168289;144581;112179;73616;55072;72203;106633;168341;176207;194316;146019;133386;143872;133024;76318;56464;41759;53746;83100;143362;141544;170199;120082;104150;107003;95469;50486;37165;20852
1D21401: Abrantes;3788;3660;2690;2517;2386;3013;3332;4006;4797;7741;5454;4099;3992;3368;2697;2062;2391;2563;2727;3526;4003;6618;3628;3218;2967;3607;1903;1909;2007;2808;2611;3387;3810;6080;4675;3643;3047;3414;2096;1619;1170
1D21402: Alcanena;1934;1490;1162;698;820;986;1353;1662;1848;2371;1889;1748;1638;1362;1087;? ?;? ?;1163;1591;1689;1390;? ?;1696;1428;1417;1467;683;? ?;? ?;? ?;? ?;1246;? ?;? ?;? ?;? ?;? ?;1332;839;? ?;? ?
1D21408: Constância;936;832;568;400;334;444;631;647;692;? ?;889;709;695;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;1002;? ?;? ?;? ?;? ?;? ?;? ?;? ?;582;647;? ?;705;1147;747;610;562;714;? ?;? ?;? ?
1D21410: Entroncamento;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?
1D21411: Ferreira do Zêzere;1812;2116;1739;759;611;1737;1087;1706;3026;6058;4179;2912;1759;1817;1618;1538;555;1546;822;1402;2710;5789;4096;3224;2095;1451;1514;886;409;1330;933;1405;3142;6863;4795;3630;2136;2520;1450;685;369
1D21413: Mação;? ?;? ?;82;131;150;262;313;325;480;644;491;302;231;118;273;364;? ?;201;329;311;300;712;576;334;342;511;120;163;105;454;182;147;233;735;386;295;144;253;216;167;96
1D21421: Ourém;140692;110621;87358;51113;41774;49909;95178;153382;146655;151248;109893;116571;136119;118532;88381;54726;38802;54702;84072;141454;145149;152964;114935;106569;114814;107653;58072;42317;29079;37338;64339;120503;114399;128657;88350;78235;82659;73153;36072;25083;12529
1D21417: Sardoal;309;422;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;88;? ?;? ?;180;335;349;468;436;379;193;262;214;277;? ?;216;304;355;277;692;476;303;? ?;? ?;? ?;? ?;? ?
1D21418: Tomar;18537;15539;11030;8478;7734;11978;14075;16080;18705;22672;17173;13838;17101;12411;12321;9201;7411;7381;9981;12898;15020;16415;13773;10896;15211;11878;8531;6476;5220;6858;8804;11141;13494;18015;14861;12105;13197;10404;6088;5434;3252
1D21419: Torres Novas;4273;3754;3502;2763;2821;3456;4006;3984;4013;4941;4369;4352;4301;3916;3214;2660;2819;2698;3978;4114;4175;5071;3602;3734;3293;3119;2678;1795;2165;1621;1998;2355;1985;3373;2334;2066;1929;1777;1739;1446;1133
1D21420: Vila Nova da Barquinha;1023;974;903;390;479;441;700;717;686;725;698;641;718;689;502;426;406;433;761;708;906;930;798;744;585;817;610;578;503;511;657;543;634;968;610;564;628;448;406;450;347
1D3: Lezíria do Tejo;28853;23092;17757;16434;14436;16376;22477;24038;25246;34493;29940;26073;27018;22911;20074;15350;16647;15816;20887;23685;24414;33483;29590;24919;24584;21303;17858;13771;13920;14713;18970;21567;24760;31879;25197;22349;20274;18159;14246;9786;7841
1D31403: Almeirim;2650;1880;1278;1504;1232;1262;2363;2260;2099;3472;3134;2931;2737;2117;2576;2180;2086;1905;2576;2316;2454;3406;3242;3271;2902;2392;2114;1640;1624;1484;2369;2060;2680;3577;2663;3294;2707;1687;1343;818;626
1D31404: Alpiarça;? ?;? ?;? ?;? ?;? ?;? ?;? ?;69;201;326;153;478;? ?;? ?;? ?;? ?;? ?;50;135;175;418;889;333;114;111;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;152;58;? ?;? ?;? ?;- -;? ?;? ?
1D31103: Azambuja;1611;1125;963;1070;1002;878;952;1464;1455;1664;1672;1389;1799;1691;1005;957;889;858;1331;2103;1583;1598;2175;1561;? ?;? ?;1487;893;1214;867;973;1579;2337;1656;1863;1635;1617;974;? ?;? ?;504
1D31405: Benavente;3385;2649;2697;1948;2014;1836;2018;2809;2928;3144;2930;2785;3039;2577;1835;1959;1766;2032;2381;2809;2982;3629;3077;2556;2865;2521;2206;2246;1857;1961;2317;? ?;? ?;4297;3395;2587;2700;2356;2165;1602;1325
1D31406: Cartaxo;1400;871;681;806;571;910;1373;1038;1158;1662;1480;1350;1341;978;793;580;525;513;669;927;1136;1583;1178;993;990;845;642;375;419;689;624;719;898;1154;750;844;674;499;578;368;318
1D31407: Chamusca;585;355;120;173;298;319;647;406;521;? ?;501;367;273;? ?;166;121;? ?;259;393;438;318;805;626;478;290;289;153;166;52;136;242;231;341;980;442;333;123;387;90;? ?;? ?
1D31409: Coruche;2038;1541;1088;927;846;1060;1276;1517;1929;3372;2776;1874;1201;1087;745;566;593;923;574;1233;1268;2810;1918;1447;1159;707;602;798;498;925;592;754;1058;1994;1505;812;1042;960;712;513;349
1D31412: Golegã;1741;1208;944;810;648;986;1558;1053;1435;1958;1265;1102;1483;1275;922;? ?;800;804;1463;916;1151;1437;1286;948;1160;1100;769;918;751;735;1327;1212;1259;1975;1155;982;973;910;635;447;290
1D31414: Rio Maior;2798;2537;1480;1462;1617;2035;2176;2841;2851;4006;3799;2854;3151;2143;2544;1568;1482;1739;2052;? ?;2132;2774;2684;2213;2232;1873;? ?;1207;1426;? ?;? ?;1461;1671;2398;1900;1589;1493;1339;1534;970;678
1D31415: Salvaterra de Magos;? ?;? ?;? ?;? ?;? ?;? ?;? ?;541;297;? ?;487;389;? ?;? ?;? ?;? ?;? ?;222;140;? ?;234;358;267;212;? ?;? ?;254;? ?;? ?;285;218;124;281;269;210;? ?;? ?;? ?;? ?;252;? ?
1D31416: Santarém;12050;10292;7982;7328;5849;6700;9711;10040;10372;13504;11743;10554;11637;10381;9004;6320;7945;6511;9173;10145;10738;14194;12804;11126;10929;9758;8074;5426;5877;6436;8940;10701;10491;13427;11256;10027;8727;8819;5905;3999;3573
1A: Grande Lisboa;1877076;1741542;1553331;1170391;1076678;1196172;1442320;1848057;1864613;2023569;1878570;1765819;1884149;1681907;1604751;1238902;1015212;1172868;1376947;1811269;1830789;1930094;1806183;1684904;1783368;1679812;1474917;1155917;1055139;1114189;1317996;1688346;1729637;1907831;1795053;1617906;1589126;1485917;1131610;791282;499228
1A0: Grande Lisboa;1877076;1741542;1553331;1170391;1076678;1196172;1442320;1848057;1864613;2023569;1878570;1765819;1884149;1681907;1604751;1238902;1015212;1172868;1376947;1811269;1830789;1930094;1806183;1684904;1783368;1679812;1474917;1155917;1055139;1114189;1317996;1688346;1729637;1907831;1795053;1617906;1589126;1485917;1131610;791282;499228
1A01115: Amadora;12663;11454;10857;9653;8720;10005;11348;12607;13062;14031;12293;10684;12105;11151;? ?;9559;? ?;10571;11434;12661;12973;14146;12769;12986;12933;11496;11062;8812;9309;9688;11195;13308;13542;15836;14155;13734;13327;13231;10729;7395;6457
1A01105: Cascais;143468;130507;99964;75112;64995;78209;103560;158718;164027;200996;183709;158485;159733;136250;121683;82241;65310;84097;104094;157757;161023;193794;180358;152983;150462;144827;107139;81529;71635;79142;103187;151076;159852;196875;177563;155674;149686;141295;91729;62404;43381
1A01106: Lisboa;1524962;1423169;1297659;974459;896989;990388;1188776;1486556;1486434;1575537;1466389;1407330;1516396;1370488;1328201;1042049;848481;969192;1139000;1461296;1463716;1499766;1412744;1345382;1440186;1357902;1224375;963919;881154;923979;1088916;1356202;1379144;1481283;1406190;1279928;1268685;1180321;927644;644518;397427
1A01107: Loures;32359;28746;28798;23041;23642;24671;24261;28318;27440;30202;28135;25522;27174;24446;22661;17165;17365;16561;18464;23620;26425;24137;23743;23541;25341;22792;22317;18658;18845;18496;18947;22780;23350;25794;23780;22362;22734;18882;16814;10961;8427
1A01109: Mafra;35855;30073;20763;11642;11004;13631;19700;35559;42798;48146;46227;37986;39745;28894;23029;12574;9834;15141;19185;37364;42578;47669;44065;36065;37973;33837;21186;12258;9491;12823;17211;34018;39387;45321;43530;35684;33176;29344;19822;12651;7476
1A01116: Odivelas;674;603;406;499;673;523;524;572;609;934;555;580;617;629;? ?;347;? ?;419;452;489;613;693;513;659;388;547;482;428;519;359;294;226;281;188;234;193;285;309;460;327;317
1A01110: Oeiras;48630;45768;37564;31261;27706;30245;38600;48709;49957;60776;54695;47798;49093;42213;39692;30176;22211;27885;32492;45613;45880;58712;50150;42308;45898;40126;36035;28048;24964;23388;27722;38570;40676;53050;46055;39435;36225;39088;21654;17332;11015
1A01111: Sintra;71848;65812;50938;40258;38166;44858;50284;70836;73999;87268;80171;71006;72249;62224;53483;40014;37208;44940;45660;65838;70800;84061;75216;64918;63373;62500;46108;37068;33865;41333;44659;65900;66688;82240;77425;65612;59521;58550;38561;32518;22468
1A01114: Vila Franca de Xira;6617;5410;6382;4466;4783;3642;5267;6182;6287;5679;6396;6428;7037;5612;5252;4777;4997;4062;6166;6631;6781;7116;6625;6062;6814;5785;6213;5197;5357;4981;5865;6266;6717;7244;6121;5284;5487;4897;4197;3176;2260
1B: Península de Setúbal;154109;136223;116315;88171;76058;83454;99938;141970;162694;210837;180705;152776;148503;124663;112141;82139;67013;81081;84646;135917;157173;197934;172544;140339;131621;129613;101881;75012;68509;72317;81329;123862;141840;185866;168320;134930;114621;109796;75649;60306;46742
1B0: Península de Setúbal;154109;136223;116315;88171;76058;83454;99938;141970;162694;210837;180705;152776;148503;124663;112141;82139;67013;81081;84646;135917;157173;197934;172544;140339;131621;129613;101881;75012;68509;72317;81329;123862;141840;185866;168320;134930;114621;109796;75649;60306;46742
1B01502: Alcochete;7903;7479;4462;? ?;3566;4432;4737;6843;7567;11477;? ?;5982;7310;? ?;4499;3617;3078;? ?;? ?;? ?;7745;9987;5147;3511;3148;2923;1990;1822;1565;2509;2155;4041;4049;6863;5205;3839;3039;3632;1955;2159;1503
1B01503: Almada;50317;47145;37927;29009;20832;22550;30710;46935;50055;64176;56927;48883;48014;41906;39830;25921;17404;21166;26167;43157;46692;59244;52533;46319;43866;40061;29406;18951;16830;16358;22279;35790;38641;43659;44256;38181;33971;31156;23884;14752;9679
1B01504: Barreiro;1290;1235;1057;? ?;656;763;? ?;? ?;? ?;? ?;1785;980;1118;1276;892;863;752;828;806;954;1024;1124;1127;1155;1471;1118;1397;1249;1413;1001;1051;910;1122;1279;1446;771;951;816;826;662;809
1B01506: Moita;- -;- -;- -;- -;- -;- -;? ?;? ?;? ?;? ?;? ?;- -;- -;? ?;? ?;- -;- -;? ?;? ?;? ?;- -;- -;- -;- -;- -;- -;- -;- -;- -;- -;- -;- -;- -;- -;- -;- -;- -;- -;- -;- -;- -
1B01507: Montijo;18150;16301;15423;12994;13349;14254;14513;16711;16679;17516;16023;16864;16162;15762;13200;12242;13164;13762;13841;16087;15515;16500;16543;15319;15368;15088;14739;12043;13315;13826;12498;14577;14359;16236;15550;16175;13834;13612;10992;9339;9116
1B01508: Palmela;5523;4350;4311;3413;3043;3846;3230;4810;6581;9873;7876;5671;5432;4080;3654;2534;2365;4189;3964;7215;9255;11692;9362;8129;6922;7709;7147;5580;3543;3896;5488;8446;8292;12188;9635;7740;5739;7815;6034;3540;2444
